company_name	company_number	reg_address_post_town	reg_address_county	reg_address_country	reg_address_post_code	company_status	sic_code
"00158345 LIMITED"	00158345	LONDON	""	""	"SW1V 1LQ"	Active	7499
"00253775 LTD"	00253775	LONDON	""	""	"EC4A 3TR"	Active	3614
"00333593 LIMITED"	00333593	LONDON	""	""	"E1W 1DD"	Liquidation	7499
"00339806 LIMITED"	00339806	LONDON	""	""	"EC4A 4HT"	Active	4521
"00368132 LIMITED"	00368132	LONDON	""	""	"EC4A 4AB"	Liquidation	7499
"00373291 LIMITED"	00373291	LONDON	""	""	"E1W 1DD"	Liquidation	7499
"00409775 LIMITED"	00409775	LONDON	""	""	"EC4A 3TR"	Liquidation	5143
"00630255 LIMITED"	00630255	LONDON	""	""	"EC2A 4SS"	Liquidation	7415
"00728334 LIMITED"	00728334	LONDON	""	""	"EC4Y 8EH"	Active	7499
"00799154 LIMITED"	00799154	LONDON	""	""	"EC4Y 8BB"	Active	7499
"00809059 LIMITED"	00809059	LONDON	""	""	"SW1H 9BU"	Active	2924
"00864505 LIMITED"	00864505	LONDON	""	""	"EC4M 7BA"	Active	3162
"00914748 LIMITED"	00914748	LONDON	""	""	"EC4A 3AD"	Active	3663
"01194903 LIMITED"	01194903	LONDON	""	""	"EC4A 4HT"	Active	7415
"01198171 LIMITED"	01198171	LONDON	""	""	"SW1V 1LQ"	Active	7499
"01234922 LIMITED"	01234922	LONDON	""	""	"NW7 3SA"	Liquidation	5134
"01273188 LIMITED"	01273188	LONDON	""	""	"E1W 1DD"	Liquidation	5190
"01439213 LIMITED"	01439213	LONDON	""	""	"SE1 9SG"	Liquidation	2851
"01737937 LIMITED"	01737937	LONDON	""	"UNITED KINGDOM"	"SW1V 1DW"	Active	9999
"01890742 LIMITED"	01890742	LONDON	""	""	"W1A 3AS"	Active	3410
"01934865 LIMITED"	01934865	LONDON	""	""	"E14 4HD"	Liquidation	7420
"020PROPERTYSERVICES LIMITED"	06269033	LONDON	""	""	"NW9 8EH"	Liquidation	4521
"02186684 LIMITED"	02186684	LONDON	""	""	"EC4A 3TR"	Liquidation	5010
"02516074 LIMITED"	02516074	LONDON	""	""	"EC4A 4HT"	Active	1824
"02761097 LIMITED"	02761097	LONDON	""	""	"W1S 4ND"	Active	9305
"02993086 LIMITED"	02993086	LONDON	""	""	"EC4M 7RB"	Active	2121
"03261558 LIMITED"	03261558	LONDON	""	""	"SW7 2JN"	Active	7020
03405697	03405697	LONDON	""	""	"EC2P 2YU"	Liquidation	8531
"03636989 LIMITED"	03636989	LONDON	""	""	"WC1H 9LG"	Liquidation	4521
"03856669 LIMITED"	03856669	LONDON	""	""	"WC1H 9LG"	Liquidation	5261
"03879191 LTD"	03879191	LONDON	""	""	"WC1H 9LG"	Liquidation	5540
"04050566 LTD"	04050566	LONDON	""	""	"WC1H 9LG"	Liquidation	7011
"04068016 PLC"	04068016	LONDON	""	""	"SE1 2AF"	"In Administration/Administrative Receiver"	9305
"04194515 LIMITED"	04194515	LONDON	""	""	"E14 9RD"	Liquidation	7414
"04196841 LIMITED"	04196841	LONDON	""	""	"EC2P 2YU"	Liquidation	5147
"04257980 LIMITED"	04257980	LONDON	""	""	"WC1H 9LT"	Liquidation	5190
"04495554 LIMITED"	04495554	LONDON	""	""	"WC1H 9LG"	Liquidation	5184
"05025054 LIMITED"	05025054	LONDON	""	""	"N13 5PA"	Active	7487
"05179470 LIMITED"	05179470	LONDON	""	""	"EC4A 4AB"	Liquidation	7487
"05236855 LTD"	05236855	LONDON	""	""	"WC1H 9LG"	Liquidation	7487
"05245559 LIMITED"	05245559	LONDON	""	""	"WC1H 9LG"	Liquidation	7487
"05448249 LIMITED"	05448249	LONDON	""	""	"W1A 2AW"	Active	7487
"! LTD"	08209948	LEEDS	YORKSHIRE	""	"LS10 2RU"	Active	99999
"!NSPIRED LTD"	SC421617	ABERDEEN	""	"UNITED KINGDOM"	"AB11 7SY"	Active	70229
"!NVERTD DESIGNS LIMITED"	09152972	SILSOE	BEDFORDSHIRE	""	"MK45 4EW"	Active	58190
"!OBAC UK LIMITED"	07687209	"STANSTED AIRPORT"	""	""	"CM24 1SJ"	Active	70229
"!YOZO FASS LIMITED"	02714021	BROCKLEY	""	""	"SE4 1NQ"	Active	90010
"$ LTD"	08209885	LEEDS	YORKSHIRE	""	"LS10 2RU"	Active	99999
"$$ DEALS $$ LIMITED"	08784088	FINCHLEY	LONDON	""	"N12 0DR"	Active	47910
"$10 CHIMP LIMITED"	09646807	SUDBURY	""	ENGLAND	"CO10 0FS"	Active	70210
"$AVE LTD"	09841468	LEEDS	""	"UNITED KINGDOM"	"LS10 2RU"	Active	99999
"& ALCHEMY MARKETING COMMUNICATIONS LTD"	08945953	BOURNEMOUTH	DORSET	""	"BH2 5QJ"	Active	70229
"& AVENUE PROPERTY MANAGEMENT LTD"	10085804	TEIGNMOUTH	DEVON	"UNITED KINGDOM"	"TQ14 9ER"	Active	43390
"& BLANC LIMITED"	09619569	BEESTON	NOTTINGHAM	""	"NG9 1AB"	Active	47710
"& BUTTONS LIMITED"	06510349	CREWE	""	ENGLAND	"CW3 9GB"	Active	47710
"& COMPANY IDEAS LIMITED"	09043448	RETFORD	NOTTINGHAMSHIRE	""	"DN22 7BN"	Active	74100
"& DAUGHTER LIMITED"	08684770	WIMBORNE	DORSET	""	"BH21 1QE"	Active	46160
"!BIG IMPACT GRAPHICS LIMITED"	07382019	LONDON	""	""	"EC1V 9AV"	Active	59112
"$$$ LTD"	10540219	LONDON	""	ENGLAND	"N1 7GU"	Active	82990
"$UCCESSRECRUITMENT LTD"	10914264	LONDON	""	ENGLAND	"N19 5RN"	Active	70229
"& ALCHEMY DIGITAL COMMUNICATIONS LIMITED"	10381860	LONDON	""	ENGLAND	"WC1A 1DG"	Active	18203
"& ANOTHER DESIGN LIMITED"	08955184	LONDON	""	ENGLAND	"SW2 1HT"	Active	90030
"& SMITH LIMITED"	06508401	LONDON	""	ENGLAND	"N16 9AE"	Active	90030
"& SON STUDIO LIMITED"	10655307	LONDON	""	"UNITED KINGDOM"	"N15 5LJ"	Active	59111
"& STELLAR LTD"	10763707	LONDON	""	"UNITED KINGDOM"	"N11 2UT"	Active	47710
"& THE NEW ... LTD"	10709533	LONDON	""	ENGLAND	"E11 2PU"	Active	73120
"&&& LIMITED"	04971465	LONDON	""	""	"E15 4HF"	Active	82990
"&&& TECHNOLOGY LIMITED"	06497540	LONDON	""	""	"E15 4HF"	Active	82990
"&AGENCY LTD"	07696247	LONDON	""	""	"SE21 8EN"	Active	73110
"&BEYOND LONDON LTD"	08576287	LONDON	""	ENGLAND	"E5 0NH"	"Active - Proposal to Strike off"	62012
"&HYPE LIMITED"	10899892	LONDON	""	"UNITED KINGDOM"	"SE19 2TA"	Active	73200
"&MEETINGS LIMITED"	07398845	LONDON	""	"UNITED KINGDOM"	"WC1R 4AG"	Active	82990
"&OFFICES CANARY WHARF LIMITED"	07881928	LONDON	""	ENGLAND	"WC1R 4AG"	Active	68320
"&OFFICES EUSTON LIMITED"	10119754	LONDON	""	"UNITED KINGDOM"	"WC1R 4AG"	Active	68320
"&OFFICES LIMITED"	10171897	LONDON	""	"UNITED KINGDOM"	"WC1R 4AG"	Active	68320
"&OFFICES VICTORIA LIMITED"	05081019	LONDON	""	ENGLAND	"WC1R 4AG"	Active	68209
"&PASSEN LTD"	10223819	LONDON	""	"UNITED KINGDOM"	"E4 6RP"	Active	62020
"&RATIO LIMITED"	10327069	LONDON	""	"UNITED KINGDOM"	"NW6 3DB"	Active	47599
"&SISTERS LTD"	10510951	LONDON	""	ENGLAND	"SW15 2NU"	Active	17220
"''DIMI K'' LTD"	10325674	LONDON	""	ENGLAND	"SE6 2QF"	Active	81299
"'45 AID SOCIETY LIMITED"	00847998	LONDON	""	""	"W1T 3BL"	Active	88990
"'76 TO PRESENT LIMITED"	07386631	LONDON	""	""	"SW2 5RR"	Active	73110
"'A LUST FOR DUST' CLEANING SERVICES LIMITED"	10004171	LONDON	""	ENGLAND	"N1 7GU"	Active	82990
"'A PIECE OF' LIMITED"	07021112	LONDON	""	ENGLAND	"EC1V 1AW"	Active	74100
"'CAUSE YOU CAN LTD"	07219441	LONDON	""	""	"SW9 9JN"	Active	85590
"'COD' FELLA'S LIMITED"	03447161	LONDON	""	""	"SE16 1SB"	Active	82990
"'D' TOUR LTD"	10858254	LONDON	""	"UNITED KINGDOM"	"SE3 0UJ"	Active	56103
"'I.C.C. DRIVE' LTD"	09009954	LONDON	"NEW SOUTHGATE"	""	"N11 1AP"	Active	53202
"'MAKING IT BETTER' LIMITED"	07499732	LONDON	""	""	"W7 1AL"	Active	85590
"'MEM'S FISH BAR LIMITED"	05038237	LONDON	""	""	"SW19 1RH"	Active	56103
"'N KAY DISTRIBUTION LTD"	09265145	LONDON	""	""	"N16 6QB"	Active	46310
"'OUT OF THE BLUE' INTERNATIONAL  TRADING LIMITED"	05774262	LONDON	""	""	"N3 1HF"	Active	13200
"'Q' PRACTICAL ELECTRICAL LTD."	04377460	LONDON	""	""	"W3 6DR"	Active	59111
"'THIS SPACE' BUILDING SOLUTIONS LIMITED"	08404920	LONDON	""	""	"EC3V 0BT"	"Active - Proposal to Strike off"	82990
"'UNIVERSAL CONSTRUCTION FOREVER'LTD LIMITED"	10478348	LONDON	""	"UNITED KINGDOM"	"WC2H 9JQ"	Active	08110
"( THE LION'S DEN (TLD ) LTD."	08315563	LONDON	""	""	"SE17 2DW"	Active	59200
"(BRACKET) DESIGN LTD."	06134719	LONDON	""	""	"EC2A 4NE"	Active	62020
"(CGN) CAPITAL GROWTH NETWORK LTD"	09041461	LONDON	""	""	"W2 6DX"	Active	64303
"(EK) ONE SAFETY & MARINE CONSULTANTS LTD"	10726307	LONDON	""	ENGLAND	"EC1A 2BN"	Active	82990
"(EN)10 (GLOBAL) LIMITED"	07607684	LONDON	""	""	"W1J 8HY"	"Voluntary Arrangement"	96040
"(EN)10 LIMITED"	07159500	LONDON	""	ENGLAND	"W1J 8HY"	Active	86900
"(HEART) COLLECTIVE LIMITED"	09282629	LONDON	""	""	"WC1H 9LG"	Active	82990
"(HEART) PRODUCTIONS LIMITED"	06132185	LONDON	""	""	"WC1H 9LG"	Active	82990
"(HIS) CUMMINGS GLOBAL ASSOCIATES LTD"	08775182	LONDON	LONDON	""	"E16 2RD"	"Active - Proposal to Strike off"	70229
"(LONDON)M. LIMITED"	10876210	LONDON	""	"UNITED KINGDOM"	"SW3 2HP"	Active	47910
"(MEXES) METALS EXECUTION SERVICES LIMITED"	08171261	LONDON	""	ENGLAND	"EC2M 4QP"	Active	66190
"(RE)SPIRITED LIMITED"	10213854	LONDON	""	ENGLAND	"EC4N 6EU"	Active	74901
"(S)EISWEIN (BORDEAUX) LIMITED"	10681548	LONDON	""	"UNITED KINGDOM"	"N3 1LF"	Active	46342
"(S)EISWEIN (OLD WORLD) LIMITED"	10681561	LONDON	""	"UNITED KINGDOM"	"N3 1LF"	Active	46342
"(THE) COMMERCIAL COMPANY OF SALONICA LTD"	09936503	LONDON	""	ENGLAND	"EC1A 2BN"	Active	46190
"(TIANJIN) SIMON CHEMICAL CO., LTD"	09586548	LONDON	""	ENGLAND	"NW1 6EA"	Active	99999
"(UK) BANRUO INDUSTRY CO., LTD"	08947594	LONDON	""	ENGLAND	"NW1 6EA"	Active	99999
"(UK) BEST BUILDER LTD"	10232748	LONDON	""	"UNITED KINGDOM"	"N22 8HF"	Active	43999
"(UK) CEREN LTD"	10547064	LONDON	""	"UNITED KINGDOM"	"N22 8HF"	"Active - Proposal to Strike off"	56103
"(UK) DIGITAL CONSULTANT LTD"	10461207	LONDON	""	ENGLAND	"N5 2DU"	Active	73110
"(UK) PRODUCTION LTD"	06820890	LONDON	""	""	"N14 6JS"	Active	96090
"(UK) YIHOO INTERNATIONAL CULTURE & MEDIA CO., LTD"	09046788	LONDON	""	"UNITED KINGDOM"	"CR8 2AD"	Active	99999
"(UNCOMMON) LIMITED"	09806558	LONDON	""	ENGLAND	"SE1 0BL"	Active	71112
"(Y/N) STUDIO LIMITED"	10562404	LONDON	""	"UNITED KINGDOM"	"E2 6FX"	Active	96090
"* LTD"	05062633	LONDON	LONDON	""	"W1G 9QR"	Active	99999
"- LTD"	10219186	LONDON	""	"GREAT BRITAIN"	"NW9 9NL"	Active	62020
"-A-LIGHT TM OUTREACH"	08916895	LONDON	""	""	"WC1R 4PA"	Active	90010
"-FELIX ROAD OWNERS LIMITED"	08539420	LONDON	""	""	"W13 0NU"	Active	98000
"-LIMIT LIMITED"	09427889	LONDON	""	ENGLAND	"N1 7GU"	Active	96090
"-O- SING LTD"	09490689	LONDON	""	ENGLAND	"EC1V 2NX"	Active	46160
"-SLC-SUNGAET&-G-KARLSSON LTD"	07898395	LONDON	""	""	"N1 7GU"	Active	68100
".AS CIRE LIMITED"	02618499	LONDON	""	""	"EC4A 1AA"	Liquidation	66290
".KHOFI LTD"	10173373	LONDON	""	"UNITED KINGDOM"	"N18 2PZ"	Active	86101
".M PRODUCTIONS LTD"	09769723	LONDON	""	"UNITED KINGDOM"	"NW1 7SN"	Active	99999
".O.C.E.A.N .U.K. DESIGN LIMITED"	03274078	LONDON	""	""	"N2 0QS"	Active	71111
".WHITE KNIGHT CARS LTD"	05404147	LONDON	""	"UNITED KINGDOM"	"EC2Y 8BR"	Active	49320
"/A.R.I.A/ ARTIST RESIDENCY IN ALGIERS LIMITED"	08086525	LONDON	""	""	"SW9 7ND"	Active	90040
"/DEV-M LIMITED"	09198994	LONDON	""	""	"E12 5RT"	Active	62020
"0 EFFORT CORPORATION TAX SPREADSHEET LTD"	10018347	LONDON	""	"UNITED KINGDOM"	"E1W 2SD"	Active	62012
"0 FILMS LIMITED"	09547811	LONDON	""	"UNITED KINGDOM"	"SW1X 0AE"	Active	82990
"0 INFINITY LIMITED"	10911227	LONDON	""	"UNITED KINGDOM"	"E6 2JG"	Active	72190
"0 TO 100 LIMITED"	09925841	LONDON	""	""	"SE21 8LU"	Active	47910
"0-TWO MAINTENANCE LIMITED"	04817966	LONDON	""	""	"SE1 0LH"	Active	82990
"0.99 LIMITED"	10654937	LONDON	""	"UNITED KINGDOM"	"WC1X 0AN"	Active	62090
"00 AGENTS LTD"	10555714	LONDON	""	"UNITED KINGDOM"	"SE26 4PG"	Active	63990
"00 SYSTEMS LTD"	09322751	LONDON	""	"UNITED KINGDOM"	"WC1E 6AB"	Active	74909
"00'CONCIERGE LIMITED"	08915984	LONDON	""	"UNITED KINGDOM"	"SW6 4LZ"	Active	47910
"000 LTD"	10023617	LONDON	""	"UNITED KINGDOM"	"WC2H 9JQ"	Active	59111
"000X LIMITED"	10707978	LONDON	""	"UNITED KINGDOM"	"EC1V 2NX"	Active	80100
"001 FORMATION AGENT LTD"	08347137	LONDON	""	"UNITED KINGDOM"	"W1B 3HH"	Active	70229
"001 GROUP LTD"	10693608	LONDON	""	ENGLAND	"W1W 7LT"	Active	71111
"001 TRANSLATION AGENCY UK LTD"	07697332	LONDON	""	ENGLAND	"NW11 8HB"	Active	74300
"00153 LTD"	09675329	LONDON	""	ENGLAND	"SW6 1RP"	Active	99999
"00424081 LIMITED"	00424081	LONDON	""	ENGLAND	"SW1X 7AW"	Liquidation	74990
"007 PLUMBING AND HEATING LIMITED"	10422284	LONDON	""	"UNITED KINGDOM"	"SE18 1PY"	Active	41100
"007 SECURE LIMITED"	10391916	LONDON	""	ENGLAND	"W4 4JE"	Active	46180
00792620	00792620	LONDON	""	""	"EC2V 7HR"	Active	74990
"01 ACCOUNTING SERVICES LTD"	08936412	LONDON	""	""	"EC1A 2BN"	Active	69201
"01 ADANA KEBAB LTD"	10487547	LONDON	""	"UNITED KINGDOM"	"E8 4AU"	Active	56101
"01 ADANA LIMITED"	09223945	LONDON	""	ENGLAND	"N13 4XS"	Active	56102
"01 ALPHATECH SYSTEMS LIMITED"	09868899	LONDON	LONDON	ENGLAND	"EC3N 1AD"	Active	70229
"01 ECHO LIMITED"	07729222	LONDON	""	""	"SW1Y 5EA"	Active	99999
"01 HANDYMAN LTD"	09565554	LONDON	""	ENGLAND	"NW9 0NA"	Active	43320
"01 MANAGEMENT SERVICES LTD"	10196375	LONDON	""	ENGLAND	"N1 7GU"	Active	68320
"01 PRODUCTIONS LIMITED"	10644355	LONDON	""	"UNITED KINGDOM"	"EC4M 7JN"	Active	18202
"01 PROTECTION HOLDING LTD"	10786877	LONDON	""	"UNITED KINGDOM"	"WC2H 9JQ"	Active	80100
"01 PROTECTION LIMITED"	09588236	LONDON	""	ENGLAND	"SW18 1NY"	Active	80100
"01 VENTURES NOMINEE I LIMITED"	10227426	LONDON	""	"UNITED KINGDOM"	"NW1 8AB"	Active	64209
"01 VENTURES NOMINEE II LIMITED"	10227301	LONDON	""	"UNITED KINGDOM"	"NW1 8AB"	Active	64209
"01001010 01000011 01000010 LIMITED"	10050209	LONDON	""	"UNITED KINGDOM"	"E1W 2PB"	Active	62090
"016 LTD."	08567248	LONDON	""	""	"NW8 9GS"	Active	68100
"01795806 LIMITED"	01795806	LONDON	""	""	"SE1 2AF"	Liquidation	22210
"01DIRECT LTD"	08294893	LONDON	""	""	"NW4 4QE"	Active	61900
"01SOLUTION LTD"	09076447	LONDON	""	""	"SW16 4AH"	Active	62090
"02 BARBER LTD"	10251729	LONDON	""	ENGLAND	"NW3 5HH"	Active	96020
"0201 HALSTEAD HAND CAR WASH & VALETING CENTRE LIMITED"	09907663	LONDON	""	"UNITED KINGDOM"	"NW10 6RF"	Active	96090
"0208-203-4000 (TM) LTD"	09312409	LONDON	""	"UNITED KINGDOM"	"N3 3PX"	Active	61100
"0260 GROUP LTD"	10298953	LONDON	""	"UNITED KINGDOM"	"EC2Y 5AB"	Active	82990
"03122814 LIMITED"	03122814	LONDON	""	ENGLAND	"WC1H 9JG"	Active	45310
"03313860 LIMITED"	03313860	LONDON	""	""	"W4 4PH"	Active	96090
"03377216 LIMITED"	03377216	LONDON	""	ENGLAND	"SW6 4TJ"	Active	90030
"03519395 LIMITED"	03519395	LONDON	""	""	"SW19 4NG"	Active	68100
"036 LIMITED"	10393013	LONDON	""	"UNITED KINGDOM"	"EC1V 2NX"	Active	56101
"03962223 LTD"	03962223	LONDON	""	""	"W1F 8QE"	Active	74990
"04 STARS INTERNATIONAL SPORTS & ENTERTAINMENT CORPORATION LIMITED"	09931835	LONDON	""	ENGLAND	"W1J 6BY"	Active	96090
"042 TAKEAWAY LTD"	10199047	LONDON	""	"UNITED KINGDOM"	"E11 1HR"	Active	56103
"04487961 LIMITED"	04487961	LONDON	""	""	"NW1 6BB"	Liquidation	64999
"045 LTD"	09074759	LONDON	""	""	"W4 2PR"	Active	99999
"046 VENTURES LIMITED"	09116686	LONDON	""	ENGLAND	"E1 5NF"	Active	42120
"05-07 GDH LIMITED"	09667427	LONDON	""	"UNITED KINGDOM"	"N3 1XW"	Active	68100
"05-12 GDH LIMITED"	09669954	LONDON	""	"UNITED KINGDOM"	"N3 1XW"	Active	68100
"05012017 LIMITED"	10438288	LONDON	""	""	"EC4V 3BJ"	Active	70100
"050502 OLDCO LTD"	05603862	LONDON	""	ENGLAND	"E1W 1YN"	"Active - Proposal to Strike off"	68209
"05294168 LTD"	05294168	LONDON	""	""	"SE18 1SJ"	Active	47990
"05402096 LTD"	05402096	LONDON	""	""	"W14 9NL"	Active	99999
"055 RECRUITMENT SERVICES LTD"	10134463	LONDON	""	"UNITED KINGDOM"	"N7 8EX"	Active	82990
"05:12 LIMITED"	10383996	LONDON	""	"UNITED KINGDOM"	"SW18 1BU"	Active	82990
"06 ORMSKIRK LIMITED"	05540164	LONDON	""	""	"EC1Y 4UQ"	Active	45111
"06104809 LIMITED"	06104809	LONDON	""	""	"EC2P 2YU"	Liquidation	43999
"06235606 LIMITED"	06235606	LONDON	""	ENGLAND	"NW6 2EG"	Active	68320
"06250 SECURITIES LIMITED"	10051430	LONDON	""	"UNITED KINGDOM"	"W1K 2TW"	Active	99999
"06373349 LTD"	06373349	LONDON	""	""	"WC1H 9LG"	Liquidation	80100
"06631074 LIMITED"	06631074	LONDON	""	ENGLAND	"NW1 7HY"	Liquidation	41100
"06931804 LIMITED"	06931804	LONDON	""	"UNITED KINGDOM"	"CR8 2AD"	Active	99999
"06964907 LIMITED"	06964907	LONDON	""	"UNITED KINGDOM"	"W1B 3HH"	Liquidation	61200
"06988521 LIMITED"	06988521	LONDON	""	""	"E4 8NU"	"Active - Proposal to Strike off"	47110
"06989568 LIMITED"	06989568	LONDON	""	""	"WC1H 9LG"	Liquidation	41201
"06D LTD"	10902232	LONDON	""	ENGLAND	"E14 5AA"	Active	74100
"07 OZ COFFEE ROASTING LIMITED"	09897899	LONDON	""	ENGLAND	"N13 4XS"	Active	56102
"07-01 GDH LIMITED"	09669938	LONDON	""	"UNITED KINGDOM"	"N3 1XW"	Active	68100
"07124807 LIMITED"	07124807	LONDON	""	""	"E6 2BH"	Active	82990
"07383615 LTD"	07383615	LONDON	""	""	"EC1M 7AD"	Active	82990
"07428380 LIMITED"	07428380	LONDON	""	""	"WC1H 9LG"	Liquidation	56101
"07445648 LIMITED"	07445648	LONDON	""	""	"WC1H 9LG"	Liquidation	56210
"07496427 LIMITED"	07496427	LONDON	""	""	"WC1H 9LG"	Liquidation	56101
"07501749 LIMITED"	07501749	LONDON	""	""	"E14 2DN"	Active	99999
"07539116 LTD"	07539116	LONDON	""	""	"N16 5SA"	Active	71111
"07639588 LTD"	07639588	LONDON	""	""	"WC1H 9LG"	Liquidation	46410
"07676505 LIMITED"	07676505	LONDON	""	""	"NW10 8QD"	Active	47110
"07694179 LTD"	07694179	LONDON	""	"UNITED KINGDOM"	"SW6 4TJ"	"Active - Proposal to Strike off"	70221
"07763245 LIMITED"	07763245	LONDON	""	""	"WC1H 9LG"	Liquidation	13990
"08 ASSISTANS LIMITED"	08136484	LONDON	""	""	"SW1Y 5EA"	Active	99999
"080 GREAT BRITAIN LIMITED"	07501972	LONDON	""	""	"WC2H 7DQ"	Active	77390
"0800 HANDYMAN (EAST SHEEN) LTD"	07809040	LONDON	""	""	"SW14 8AG"	Active	96090
"0800 HANDYMAN MOBILE LIMITED"	04154048	LONDON	""	""	"SW14 8AG"	Active	96090
"0800 HANDYMAN PUTNEY LIMITED"	02921967	LONDON	""	""	"SW14 8AG"	Active	74990
"0800 HANDYMAN RETAIL LIMITED"	10652172	LONDON	""	ENGLAND	"SW14 8AG"	Active	43999
"0800 RECRUIT LIMITED"	03792220	LONDON	""	""	"E14 5AP"	Active	74990
"08000 RECRUIT LIMITED"	03829341	LONDON	""	""	"E14 5AP"	Active	74990
"0800DOCMORRIS LIMITED"	04780617	LONDON	""	ENGLAND	"EC2R 6AD"	Active	74909
"0800MOVES.COM LIMITED"	07755000	LONDON	""	""	"N13 4BS"	Active	96090
"0800Z LIMITED"	06476346	LONDON	""	ENGLAND	"W1U 2NT"	Active	96090
"08031603 LIMITED"	08031603	LONDON	""	""	"E12 6BT"	Active	82990
"0808 CAMERA SERVICES LIMITED"	06933403	LONDON	""	""	"EC3A 5BU"	Active	82990
"08092113 LIMITED"	08092113	LONDON	""	""	"NW1 7ET"	Active	69203
"08149022 LTD"	08149022	LONDON	""	""	"E1 5QJ"	"Active - Proposal to Strike off"	64303
"08208819 LTD"	08208819	LONDON	""	""	"E1 5QJ"	"Active - Proposal to Strike off"	64303
"08209545 LTD"	08209545	LONDON	""	""	"E1 5QJ"	"Active - Proposal to Strike off"	64303
"08281739 LIMITED"	08281739	LONDON	""	""	"WC1H 9LG"	Liquidation	82990
"08317481 LIMITED"	08317481	LONDON	""	ENGLAND	"SE28 8PF"	Active	86210
"08489534 LIMITED"	08489534	LONDON	""	""	"WC1N 3AX"	"Active - Proposal to Strike off"	45111
"08569679 LIMITED"	08569679	LONDON	""	"UNITED KINGDOM"	"CR8 2AD"	Active	99999
"08617963 LIMITED"	08617963	LONDON	""	ENGLAND	"N14 5BP"	Active	99999
"08628087 LIMITED"	08628087	LONDON	""	""	"E14 2DN"	Active	99999
"08640281 LTD"	08640281	LONDON	""	""	"SE17 2UJ"	"Active - Proposal to Strike off"	86101
"08657124 LIMITED"	08657124	LONDON	""	""	"E17 9SD"	Active	42990
"08782595 LTD"	08782595	LONDON	""	""	"W1D 7LH"	Active	56101
"08790357 LIMITED"	08790357	LONDON	""	""	"SW19 8RR"	Active	47910
"089 LTD"	09072054	LONDON	""	""	"N12 8NP"	"Active - Proposal to Strike off"	47110
"08911028 LIMITED"	08911028	LONDON	""	"UNITED KINGDOM"	"CR8 2AD"	Active	99999
"0899 B.C LTD"	08088843	LONDON	""	"UNITED KINGDOM"	"CR8 2AD"	Active	99999
"08MARINE SWEDEN LIMITED"	07879462	LONDON	""	""	"SW1Y 5EA"	Active	99999
"090502 LIMITED"	04434146	LONDON	""	"UNITED KINGDOM"	"EC4A 1JP"	Active	82990
"09070373 LTD"	09070373	LONDON	""	""	"N1 7TA"	"Active - Proposal to Strike off"	82990
"09294080 LIMITED"	09294080	LONDON	""	"UNITED KINGDOM"	"SE25 6YD"	Active	46130
"09325951 LTD"	09325951	LONDON	""	ENGLAND	"E4 9SF"	Active	43910
"09347045 LIMITED"	09347045	LONDON	""	"UNITED KINGDOM"	"E16 2AE"	Active	56210
"09440854 LIMITED"	09440854	LONDON	""	""	"W1B 3HH"	Active	62090
"09451461 LTD"	09451461	LONDON	""	ENGLAND	"SW1X 0AE"	Active	74100
"09531549 LTD"	09531549	LONDON	""	"UNITED KINGDOM"	"WC1B 3HD"	Active	62020
"09607722 LIMITED"	09607722	LONDON	""	"UNITED KINGDOM"	"CR8 2AD"	"Active - Proposal to Strike off"	99999
"09621728 LIMITED"	09621728	LONDON	""	""	"W12 8HS"	Active	96090
"09723140 LTD"	09723140	LONDON	""	ENGLAND	"N12 0DR"	Active	70229
"09773784 LIMITED"	09773784	LONDON	""	"UNITED KINGDOM"	"WC2H 9JQ"	"Active - Proposal to Strike off"	41202
"09822403 LIMITED"	09822403	LONDON	""	"UNITED KINGDOM"	"N22 8HH"	Active	99999
"09861589 LTD"	09861589	LONDON	""	ENGLAND	"WC2H 9JQ"	Active	82990
"09931150 LIMITED"	09931150	LONDON	""	ENGLAND	"WC2H 9JQ"	Active	62090
"09939493 LTD"	09939493	LONDON	""	"UNITED KINGDOM"	"EC3V 9DF"	Active	74990
"09974278 LTD"	10644184	LONDON	""	"UNITED KINGDOM"	"N16 8AD"	"Active - Proposal to Strike off"	56290
"0BRAND LIMITED"	08820479	LONDON	""	ENGLAND	"W1B 4EZ"	Active	82990
"0COM.CO.UK LIMITED"	08358442	LONDON	""	""	"SW16 2AS"	Active	68320
"0E DESIGNS LIMITED"	09811627	LONDON	LONDON	ENGLAND	"WC1A 2SE"	Active	62011
"0E0E LTD"	10186883	LONDON	""	"UNITED KINGDOM"	"W13 9UT"	Active	90030
"0Z CRYSTAL LIMITED"	09052918	LONDON	""	""	"N22 6DS"	Active	56101
"1 & 2 DRAKES COURTYARD LTD"	10770064	LONDON	""	"UNITED KINGDOM"	"NW2 6GY"	Active	68100
"1 & 2 GODSON YARD FREEHOLD COMPANY LTD"	10598676	LONDON	""	"UNITED KINGDOM"	"NW6 5FE"	Active	98000
"1 & 2 KELMAN CLOSE LIMITED"	09849080	LONDON	""	"UNITED KINGDOM"	"SW4 6JE"	Active	98000
"1 & 2 PIERHEAD RESIDENTS LIMITED"	01039922	LONDON	""	""	"E1W 1PN"	Active	68201
"1 & 3 SHIPMAN ROAD MANAGEMENT COMPANY LIMITED"	06689723	LONDON	""	""	"SE23 2DY"	Active	98000
"1 & 4 & 7 TRITON LIMITED"	06024918	LONDON	""	""	"W1H 7LX"	Active	41100
