company_name	company_number	reg_address_post_town	reg_address_county	reg_address_country	reg_address_post_code	company_status	sic_code
"ATRATO PARTNERS LIMITED"	10533101	LONDON	""	"UNITED KINGDOM"	"WIU 1BZ"	Active	99999
"AURA SUPER PRIME LTD"	10117825	LONDON	""	"UNITED KINGDOM"	"SW10 OXF"	Active	96090
"AVALINE SCHOOL LIMITED"	10531512	LONDON	""	ENGLAND	"W5 3HJ."	Active	85590
"AVANA ESTATES LIMITED"	07151152	LONDON	""	""	"ECIN 8DL"	Active	68209
"AWW SERVICE & TRADE LIMITED"	06368441	LONDON	""	ENGLAND	"WIG (QG"	Active	99999
"AYLESFORD INTERNATIONAL LIMITED"	05794697	LONDON	""	""	"SW10 OLH"	Active	74990
"B CHOICE LIMITED"	06272242	LONDON	""	""	"EC4Y OHA"	Active	64209
"B R & K SERVICES LIMITED"	09835440	LONDON	""	"UNITED KINGDOM"	"SE1 8 7RL"	Active	87900
"B YADAV LTD"	10476423	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"B-PRACTICAL LTD"	07987035	LONDON	""	""	"W37 BS"	Active	86101
"B.HOSSAIN LTD"	10472625	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"B.W.T. INT LIMITED"	09920145	LONDON	""	"UNITED KINGDOM"	"WC1 N3AX"	Active	99999
"BABITA LTD"	10472705	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"BABITA SINGH LTD"	10476366	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"BABY UR BLESSED MATS LTD"	10600253	LONDON	""	"UNITED KINGDOM"	"N7 7 BP"	Active	96090
"BAILEY MONTAGU LTD."	08201990	LONDON	""	""	"WIJ 6BD"	Active	78109
"BAKEWELL BROTHERS ACCOUNTANTS LTD"	10851366	LONDON	""	"UNITED KINGDOM"	"E11 4 EF"	Active	96090
"BANIA LTD"	10473256	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"BCL ACQUISITIONS LTD"	10888523	LONDON	""	ENGLAND	"SE 379E"	Active	82990
"BEACH POINT CAPITAL UK LTD"	07107431	LONDON	""	""	"W1J 8 AJ"	Active	82990
"BEECHBROOK UK SME CREDIT I CO-INVESTMENT LTD"	09867189	LONDON	LONDON	""	"WIU 7NA"	Active	74909
"BEEKASH PAYMENT SYSTEM LIMITED"	09420856	LONDON	""	ENGLAND	"EC1 V2NX"	Active	62012
"BESPOKE S4U ASSESSORS LTD"	09831115	LONDON	BARNET	ENGLAND	"N12 OEH"	"Active - Proposal to Strike off"	85600
"BETHESDA CHURCH MINISTRIES"	10520341	LONDON	""	"UNITED KINGDOM"	"SW9 QDJ"	Active	94910
"BIG HOLDING GROUP LIMITED"	10740414	LONDON	""	"UNITED KINGDOM"	"WIJ 8DZ"	Active	82990
"BINLEY DEVELOPMENTS LTD"	10782377	LONDON	""	"UNITED KINGDOM"	1AE	Active	41100
"BISHOP & DAFE LTD"	09193310	LONDON	""	""	"W4 54PY"	"Active - Proposal to Strike off"	90030
"BITBYTE LIMITED"	10261153	LONDON	""	"UNITED KINGDOM"	"SE3 03U"	Active	62020
"BITCONSULT INVESTMENT LTD"	10795170	LONDON	AVON	ENGLAND	"EC1 V4PW"	Active	70100
"BITIMART LTD"	10395241	LONDON	""	ENGLAND	EC1	Active	82990
